vt_mV,deltat_c,i_ma_taumen,v_mv_taumen,i_ma_taumen2,v_mv_taumen2,i_ma_tdim,v_mv_tdim
0.0,0,181.8,222.6,182.2,223.9,182.3,226.7
0.4,10,181.8,231.7,182.1,232.6,182.2,234.1
0.8,20,181.8,239.5,182.1,240.6,182.1,242.7
1.2,30,181.8,247.6,182.1,248.8,182.0,250.7
1.6,40,181.7,256.1,182.0,257.3,182.0,259.0
2.0,50,181.7,263.8,182.0,264.6,181.9,266.6
2.4,60,181.6,272.2,181.9,272.4,181.8,274.2
2.8,70,181.6,278.7,181.8,279.8,181.7,280.6
3.2,80,181.5,286.0,181.8,287.0,181.6,288.4
3.6,90,181.4,293.6,181.6,294.4,181.6,294.7
4.0,100,181.4,300.9,181.6,301.8,181.5,298.8
4.4,110,181.3,307.8,181.5,309.0,181.4,309.0
4.8,120,181.2,314.6,181.4,315.8,181.4,315.4
5.2,130,181.2,321.6,181.3,322.6,181.3,322.6
5.6,140,181.1,328.5,181.3,329.6,181.2,327.7
6.0,150,181.1,335.5,181.2,336.3,181.1,336.0
